evaluation_type,window_id,attack_id,target_tag,p1_target_tag,method,candidate_action,t,step,predicted_LIT101,predicted_level,safe_low,safe_high,target_low,target_high,predicted_pump_state,predicted_mv101_state,selected
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,0,0,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,1,1,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,2,2,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,3,3,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,4,4,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,5,5,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,6,6,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,7,7,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,8,8,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,9,9,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,10,10,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,11,11,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,12,12,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,13,13,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,14,14,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,15,15,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,16,16,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
counterfactual_model_rollout,1,1,MV101,MV101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,17,17,816.8499,816.8499,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,1,1
